               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.104,            0.021158,                   0,           0.0025568,           0.0044703,          0.00016768,          4.0384e-05,            0.084838,            0.010252,                   0,              0.0005,              0.0005,              0.0955
                   1,            0.089412,            0.025795,                   0,             0.15431,             0.28923,            0.087303,            0.015154,            0.067139,           0.0088069,                   0,           0.0010044,           0.0010044,            0.090904
                   2,            0.071384,            0.021301,                   0,              0.5631,             0.40679,             0.41232,             0.11058,            0.054694,            0.007421,                   0,           0.0014865,           0.0014865,            0.086287
                   3,            0.065545,            0.018483,                   0,             0.43634,              0.4118,             0.35733,            0.078215,             0.05634,           0.0065826,                   0,           0.0019304,           0.0019304,             0.08163
                   4,            0.066362,             0.01889,                   0,             0.62279,             0.50558,             0.52278,              0.1522,             0.05185,           0.0058547,                   0,           0.0023217,           0.0023217,            0.076922
                   5,            0.059627,            0.017146,                   0,             0.71472,             0.57219,             0.62192,             0.21088,            0.045438,           0.0056785,                   0,            0.002648,            0.002648,            0.072148
                   6,             0.05664,            0.016799,                   0,             0.49948,             0.44435,              0.4359,             0.12393,            0.056334,           0.0048924,                   0,           0.0028996,           0.0028996,              0.0673
                   7,            0.058303,            0.017389,                   0,             0.69622,             0.52456,             0.55065,              0.1515,            0.048347,           0.0049965,                   0,             0.00307,             0.00307,             0.06237
                   8,            0.054407,             0.01615,                   0,              0.7662,             0.56728,             0.64439,             0.22114,            0.046352,           0.0048551,                   0,           0.0031559,           0.0031559,            0.057356
                   9,            0.054436,            0.015055,                   0,             0.59794,             0.57219,             0.50945,             0.16491,            0.047342,            0.004762,                   0,           0.0031578,           0.0031578,            0.052258
                  10,            0.054944,            0.016122,                   0,             0.78654,             0.64148,             0.69254,             0.23612,            0.044618,           0.0045188,                   0,             0.00308,             0.00308,             0.04708
                  11,            0.055947,            0.015393,                   0,             0.77684,             0.62003,             0.68506,             0.23437,            0.044316,           0.0044696,                   0,           0.0029304,           0.0029304,             0.04183
                  12,             0.05026,            0.013993,                   0,             0.79746,              0.6301,             0.70956,             0.26207,            0.043657,           0.0045615,                   0,           0.0027204,           0.0027204,             0.03652
                  13,            0.046395,            0.013503,                   0,             0.79539,             0.68467,             0.73919,             0.28371,            0.042154,           0.0043441,                   0,           0.0024649,           0.0024649,            0.031165
                  14,            0.047369,            0.014028,                   0,             0.80325,              0.6616,             0.72808,             0.26965,            0.042184,           0.0042288,                   0,           0.0021812,           0.0021812,            0.025781
                  15,            0.043962,            0.014408,                   0,              0.8337,             0.68574,             0.75541,             0.30188,            0.040348,            0.004251,                   0,           0.0018892,           0.0018892,            0.020389
                  16,            0.042008,            0.013596,                   0,             0.83983,              0.6891,             0.75732,             0.31277,            0.039911,           0.0041608,                   0,           0.0016103,           0.0016103,             0.01501
                  17,            0.045109,            0.013546,                   0,             0.80855,             0.70764,             0.75684,             0.30894,            0.040164,           0.0041764,                   0,           0.0013668,           0.0013668,           0.0096668
                  18,            0.042126,            0.013738,                   0,             0.81803,             0.68124,             0.73915,             0.28533,            0.040281,           0.0041224,                   0,           0.0011812,           0.0011812,           0.0043812
                  19,            0.041087,            0.013759,                   0,             0.82039,             0.69423,             0.75351,             0.28724,            0.040869,           0.0041415,                   0,           0.0010554,           0.0010554,           0.0010554
